Time,trustor,trustee,pkts_f,pkts_d,pdr,frds,coi,D_ID,D_Type,D_Brand,D_Model,D_Relationship_Type,D_Relationship_Factor
1638,9,11,2,3,0.4,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1639,4,10,2,3,0.4,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1640,11,4,3,4,0.428571429,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1640,6,11,1,3,0.25,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1641,4,13,4,3,0.571428571,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1641,14,10,6,1,0.857142857,1,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
1642,10,11,1,1,0.5,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1643,10,4,1,1,0.5,1,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1643,2,8,4,0,1,1,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1643,14,6,1,0,1,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1644,15,3,1,0,1,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1644,2,12,1,3,0.25,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1645,7,1,1,1,0.5,1,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1646,5,12,4,4,0.5,1,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1646,7,15,1,1,0.5,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1646,15,10,7,1,0.875,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1648,9,3,4,3,0.571428571,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1648,4,13,1,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1648,11,9,7,1,0.875,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1650,9,11,1,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1650,4,7,6,1,0.857142857,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1650,11,8,7,1,0.875,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1652,7,5,3,1,0.75,1,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1652,5,8,3,1,0.75,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1652,15,10,4,4,0.5,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1653,5,11,1,3,0.25,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1653,7,14,2,2,0.5,0,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1654,15,1,3,6,0.333333333,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1655,6,12,3,0,1,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1655,3,8,2,1,0.666666667,1,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1656,15,5,4,0,1,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1657,8,13,4,1,0.8,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1657,5,10,1,2,0.333333333,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1658,8,1,2,3,0.4,0,1,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1658,14,2,9,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1658,5,13,3,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1660,6,1,3,4,0.428571429,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1660,2,11,5,2,0.714285714,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1660,11,10,3,0,1,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1662,6,2,1,2,0.333333333,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1662,3,15,1,6,0.142857143,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1662,15,9,3,2,0.6,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1664,6,12,8,2,0.8,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1664,2,9,8,1,0.888888889,0,1,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1664,13,7,1,4,0.2,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1665,2,11,1,8,0.111111111,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1666,11,3,4,5,0.444444444,1,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1666,7,11,3,5,0.375,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1667,7,3,1,7,0.125,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1667,3,15,1,1,0.5,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1667,12,10,7,2,0.777777778,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1669,10,1,9,1,0.9,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1669,1,12,3,2,0.6,1,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1669,13,9,5,1,0.833333333,0,1,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1670,10,15,9,1,0.9,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1670,1,6,5,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1671,13,7,1,3,0.25,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1672,13,4,2,2,0.5,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1672,9,13,4,1,0.8,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1672,5,10,2,4,0.333333333,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1674,7,14,1,4,0.2,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1674,3,9,4,2,0.666666667,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1674,13,9,3,2,0.6,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1675,7,2,4,1,0.8,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1676,15,1,3,1,0.75,0,1,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1676,1,10,4,0,1,1,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1677,7,1,1,0,1,1,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1678,2,6,4,2,0.666666667,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1678,11,8,1,0,1,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1679,7,3,4,3,0.571428571,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1679,2,11,3,3,0.5,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1680,15,10,1,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1681,7,1,3,0,1,1,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1681,14,3,1,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1681,3,14,2,1,0.666666667,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1683,8,12,7,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1683,3,9,1,0,1,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1683,13,10,3,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1685,7,13,5,3,0.625,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1685,3,8,1,0,1,1,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1685,11,10,1,0,1,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1686,13,3,1,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1686,3,12,1,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1687,9,1,1,9,0.1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1688,1,11,1,5,0.166666667,0,1,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1688,9,15,8,2,0.8,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1688,12,6,2,1,0.666666667,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1689,11,1,2,1,0.666666667,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1690,7,2,1,1,0.5,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1690,1,12,2,1,0.666666667,1,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1691,15,5,7,1,0.875,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1691,1,7,2,1,0.666666667,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1692,9,1,8,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1692,11,9,7,1,0.875,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1693,2,15,5,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1693,9,12,4,4,0.5,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
1694,13,6,1,7,0.125,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1695,8,5,5,1,0.833333333,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1695,12,2,2,6,0.25,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1695,2,14,4,1,0.8,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1696,8,12,5,1,0.833333333,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1697,14,4,4,5,0.444444444,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1697,4,12,3,5,0.375,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1698,7,11,1,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1698,13,10,9,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1699,7,1,1,0,1,1,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1699,5,9,1,4,0.2,1,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1700,11,4,1,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1700,5,12,2,3,0.4,1,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1701,8,14,7,3,0.7,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1701,11,8,1,0,1,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1702,4,15,6,1,0.857142857,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1703,9,1,5,2,0.714285714,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1703,4,10,6,1,0.857142857,1,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1703,12,8,1,8,0.111111111,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1705,10,5,1,2,0.333333333,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
1705,3,6,1,5,0.166666667,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1705,11,9,1,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1706,13,3,1,0,1,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1707,10,5,1,0,1,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1707,3,9,1,3,0.25,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1708,3,11,1,3,0.25,1,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1708,11,9,2,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1709,6,4,1,1,0.5,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1710,14,2,2,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1710,5,11,2,1,0.666666667,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1710,6,12,1,1,0.5,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1711,12,7,1,1,0.5,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1712,8,5,8,1,0.888888889,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1712,1,12,1,0,1,1,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1713,8,15,1,8,0.111111111,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1713,1,10,1,0,1,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1713,11,6,2,1,0.666666667,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1715,6,3,6,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1715,15,2,8,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1715,3,6,1,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1716,6,13,2,4,0.333333333,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1717,3,12,9,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1717,11,6,3,0,1,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1718,6,13,1,1,0.5,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1719,6,2,2,0,1,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1719,2,8,1,6,0.142857143,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1719,11,6,2,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1720,12,4,1,1,0.5,0,1,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1721,8,13,2,1,0.666666667,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1721,5,9,2,0,1,1,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1722,8,5,1,2,0.333333333,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1722,5,12,2,0,1,1,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1722,14,8,2,3,0.4,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1723,11,1,1,4,0.2,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1724,7,4,8,1,0.888888889,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1724,4,10,1,4,0.2,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1725,4,13,5,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1725,7,12,2,7,0.222222222,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1725,13,8,1,1,0.5,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1726,12,5,2,0,1,1,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1727,7,4,7,2,0.777777778,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1727,3,7,1,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1728,3,11,1,0,1,1,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1728,12,8,4,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1729,7,2,2,0,1,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1729,14,5,4,0,1,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1730,1,8,3,4,0.428571429,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1731,7,5,2,0,1,1,1,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1731,12,1,5,1,0.833333333,1,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1732,7,13,2,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1732,4,6,7,2,0.777777778,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1733,14,5,4,0,1,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1734,3,11,5,0,1,1,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1734,9,15,4,2,0.666666667,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1735,9,2,3,3,0.5,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1735,3,9,5,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1735,13,9,1,1,0.5,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1737,12,1,1,0,1,1,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1737,2,14,2,5,0.285714286,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1737,7,14,1,4,0.2,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
1738,14,9,1,0,1,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1739,8,11,1,1,0.5,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1739,4,7,7,3,0.7,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1740,11,5,1,1,0.5,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1740,4,15,5,5,0.5,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1741,7,11,2,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1741,14,7,1,1,0.5,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1742,3,10,3,4,0.428571429,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1743,8,1,3,3,0.5,0,1,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1743,14,2,2,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1743,3,11,6,1,0.857142857,1,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1744,14,8,2,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1745,8,3,4,1,0.8,1,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1745,5,13,8,2,0.8,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1746,8,15,4,1,0.8,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1746,5,8,10,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1746,11,8,2,3,0.4,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1748,5,13,9,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1748,7,15,3,1,0.75,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1748,15,6,7,1,0.875,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1749,7,4,4,0,1,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1749,5,6,2,7,0.222222222,1,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1750,14,8,4,0,1,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1751,6,2,9,1,0.9,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1751,14,1,1,3,0.25,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1751,3,6,1,6,0.142857143,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1752,3,13,4,3,0.571428571,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1752,6,12,3,7,0.3,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1753,13,1,8,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1754,7,11,1,7,0.125,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1754,5,9,1,1,0.5,1,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1754,12,10,2,6,0.25,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1755,7,3,7,1,0.875,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1756,12,3,3,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1756,5,14,1,1,0.5,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1757,10,5,7,2,0.777777778,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1757,5,7,2,0,1,1,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1757,15,10,2,1,0.666666667,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1758,10,12,6,3,0.666666667,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1759,15,3,3,4,0.428571429,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
1759,3,10,8,0,1,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1760,9,12,1,0,1,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1761,11,3,8,1,0.888888889,1,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1761,2,10,2,8,0.2,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1762,9,15,5,2,0.714285714,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1762,13,9,8,1,0.888888889,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1763,9,3,7,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1763,4,14,8,0,1,1,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1764,13,3,4,5,0.444444444,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1765,9,12,5,3,0.625,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
1765,5,9,1,5,0.166666667,1,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1765,13,7,1,8,0.111111111,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1766,9,5,6,2,0.75,1,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1766,5,13,5,1,0.833333333,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1767,14,5,4,1,0.8,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1768,4,11,2,7,0.222222222,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1768,7,14,5,0,1,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1768,12,8,1,4,0.2,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1770,8,5,1,1,0.5,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1770,1,9,5,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1770,14,8,2,0,1,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1772,11,4,5,2,0.714285714,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1772,3,12,9,1,0.9,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1772,8,11,5,3,0.625,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1773,8,3,4,4,0.5,1,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1773,3,8,1,9,0.1,1,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1773,14,9,7,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1775,6,3,2,3,0.4,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1775,3,6,4,3,0.571428571,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1775,14,8,4,4,0.5,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1776,3,13,5,2,0.714285714,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1777,11,1,4,4,0.5,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1777,6,13,5,2,0.714285714,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1778,4,13,1,2,0.333333333,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1779,15,2,2,1,0.666666667,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1779,6,14,3,5,0.375,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1780,6,1,4,4,0.5,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
1780,5,15,1,6,0.142857143,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1780,12,9,2,1,0.666666667,0,1,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1781,5,8,3,4,0.428571429,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
1782,9,5,1,1,0.5,1,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1782,15,4,2,2,0.5,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1783,2,13,2,7,0.222222222,1,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1783,9,14,1,1,0.5,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1784,13,9,1,1,0.5,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1785,4,11,1,5,0.166666667,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
1785,9,12,1,1,0.5,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
1786,9,5,1,1,0.5,1,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
1786,11,5,5,3,0.625,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
1786,4,9,6,0,1,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
1787,15,10,8,0,1,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
1788,5,14,1,8,0.111111111,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
1788,7,11,4,3,0.571428571,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
1789,12,8,4,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
1790,11,4,1,3,0.25,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
1790,3,14,3,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
